nationality,ave_score,ave_height,ave_weight,count,lat,long,First,Second,third
Afghanistan,61,175,68,3,33,65,CM,LB,LM
Albania,68,181,75,33,41,20,CM,CDM,RB
Algeria,72,182,76,63,28,3,CB,CAM,CM
Angola,69,178,76,13,-12.5,18.5,ST,CB,RB
Antigua and Barbuda,62,178,75,4,17.05,-61.8,RB,LM,ST
Argentina,72,179,76,673,-34,-64,CB,ST,GK
Armenia,72,179,76,7,40,45,ST,RW,CAM
Australia,63,181,75,223,-27,133,CB,GK,CDM
Austria,65,183,76,298,47.33,13.33,CB,GK,CDM
Azerbaijan,65,186,79,6,40.5,47.5,ST,CDM,LM
Barbados,64,183,77,1,13.17,-59.53,ST,,
Belarus,71,183,78,3,53,28,CAM,CM,GK
Belgium,70,183,77,281,50.83,4,CB,GK,CM
Belize,62,180,82,1,17.25,-88.75,RM,,
Benin,68,186,80,13,9.5,2.25,CB,ST,CDM
Bermuda,66,172,78,2,32.33,-64.75,RM,ST,
Bolivia,64,177,73,6,-17,-65,ST,CAM,CDM
Bosnia and Herzegovina,70,185,78,66,44,18,CB,CM,ST
Brazil,74,181,76,538,-10,-55,CB,ST,CDM
Bulgaria,73,184,76,12,43,25,ST,CM,CAM
Burkina Faso,70,180,73,18,13,-2,ST,CAM,CB
Burundi,58,176,74,2,-3.5,30,CAM,CM,
Cameroon,69,184,80,80,6,12,CB,ST,CDM
Canada,64,181,78,50,60,-95,CM,ST,CB
Cape Verde Islands,72,181,77,19,16,-24,CB,CM,LM
Central African Republic,70,191,84,1,7,21,CB,,
Chad,73,186,81,1,15,19,ST,,
Chile,67,176,73,297,-30,-71,CB,CM,ST
China,60,182,74,381,35,105,CB,GK,RB
Colombia,68,179,74,493,4,-72,ST,CB,CDM
Comoros,67,173,69,5,-12.17,44.25,CM,CDM,LM
Congo,64,185,78,21,-1,15,ST,CB,CDM
Congo DR,69,182,77,49,-1,15,CB,ST,LM
Costa Rica,69,182,75,30,10,-84,CB,LB,ST
Croatia,71,185,79,134,45.17,15.5,CB,ST,CM
Cuba,70,177,70,2,21.5,-80,CDM,LB,
Curaçao,68,182,75,11,21.5,-80,CM,GK,LB
Cyprus,63,183,77,9,35,33,CB,RB,ST
Czech Republic,71,185,79,100,49.75,15.5,ST,GK,CB
Côte d'Ivoire,70,181,75,87,-3.5,30,ST,CDM,CB
Denmark,65,184,78,332,56,10,CB,CM,ST
Dominican Republic,79,180,75,4,19,-70.67,ST,LB,
Ecuador,72,176,73,19,-2,-77.5,LM,CB,CDM
Egypt,72,180,76,20,27,30,CB,CDM,LM
El Salvador,67,174,72,3,13.83,-88.92,CDM,CM,RM
UK,65,182,75,1610,52,-1.5,ST,CM,CB
Equatorial Guinea,68,179,74,5,2,10,CAM,CM,GK
Eritrea,71,189,85,1,15,39,ST,,
Estonia,65,183,78,13,59,26,CB,GK,LB
Ethiopia,64,174,62,1,8,38,RB,,
FYR Macedonia,69,183,76,19,-43,67,GK,CM,ST
Faroe Islands,61,187,83,7,62,-7,CB,ST,LM
Fiji,72,170,70,1,-18,175,ST,,
Finland,67,183,79,56,64,26,CB,CM,GK
France,70,182,76,907,46,2,CB,ST,CM
Gabon,72,179,75,16,-1,11.75,CM,CB,CDM
Gambia,67,183,76,14,13.47,-16.57,CB,ST,LW
Georgia,69,184,77,24,42,43.5,CB,CAM,LM
Germany,67,184,78,1254,51,9,CB,GK,ST
Ghana,68,178,73,104,8,-2,CM,ST,CB
Greece,70,183,77,92,39,22,CB,GK,ST
Grenada,63,185,88,1,12.12,-61.67,CB,,
Guam,69,175,68,1,13.47,144.78,RB,,
Guatemala,64,190,82,2,15.5,-90.25,CB,GK,
Guinea,70,180,73,26,11,-10,ST,CM,CB
Guinea-Bissau,70,181,74,13,12,-15,CDM,LW,RB
Guyana,62,183,75,3,5,-59,CB,CDM,CM
Haiti,62,180,76,8,19,-72.42,RB,ST,CAM
Holland,70,183,77,491,-53.1,72.52,CB,CM,ST
Honduras,70,180,78,13,15,-86.5,ST,CM,LB
Hong Kong,60,174,74,2,22.25,114.17,CB,CM,
Hungary,69,184,78,19,47,20,CAM,CB,ST
Iceland,68,184,79,39,65,-18,ST,CB,CM
Iran,69,182,77,17,-5,120,GK,RM,ST
Iraq,66,181,73,6,33,44,LB,LM,CB
Israel,71,180,75,16,31.5,34.75,CAM,LB,ST
Italy,71,182,76,673,42.83,12.83,CB,CM,ST
Jamaica,67,181,76,30,18.25,-77.5,ST,CB,CM
Japan,63,178,72,472,36,138,CB,GK,CM
Jordan,58,174,75,1,31,36,RWB,,
Kazakhstan,65,177,72,4,48,68,CAM,LB,RB
Kenya,67,183,77,11,1,38,CDM,CB,LM
Korea DPR,66,180,76,4,1.42,173,ST,CF,
Korea Republic,64,181,74,339,1.42,173,CB,CM,ST
Kosovo,66,181,75,35,37,127.5,ST,CM,CDM
Latvia,64,191,85,5,57,25,GK,CB,ST
Liberia,64,178,74,2,6.5,-9.5,ST,,
Libya,70,174,70,4,6.5,-9.5,CM,LB,LW
